NAME,RATING,DATE,REVIEW
Kimberly3706,5.0 out of 5 stars,"Reviewed in the United States on November 9, 2023","I was so excited to get these on Amazon day! The price was too good to pass up and my son had these exact ones so I knew they would be great since I tried his out and they were! Easy to pair with your phone, great sound, doesn't fall out of your ears when walking or bending. Overall a great wireless ear bud and cheaper than BJ's!"
Howard Owens,5.0 out of 5 stars,"Reviewed in the United States on November 15, 2023","Before I spent the money on these, I started out with a cheap imitation and found I was OK with AirPods. So I bought the real thing and think they're great. The difference in sound quality between the two pairs is notable. Apple products are always better than imitators."
MH20,5.0 out of 5 stars,"Reviewed in the United States on October 15, 2023","I finally got these! Thank you Amazon Deal Days! I really like the features that integrate with my iPhone, like Siri availability, Notifications delivered quietly with a little info (so you know if you need to deal with it now or not), tap controls you can customize, good sound for listening to anything and phone calls for hands free movement. I had a friend say the sound on a call was in and out a couple times at when I first got them (she’s in Canada), but they seem to have settled in nicely on every call, and no complaints since. I can’t hear what’s going on around me much while listening to music, etc. If doing exercise, would get a gadget to make sure they didn’t fall out. Very pleased overall!"
Kat,5.0 out of 5 stars,"Reviewed in the United States on October 20, 2023","I use these all day and literally almost all night! Either the case is always charged to 100% or the airpods are, so I'm able to use them all day long. I also sleep with them in so I can listen to my overnight meditations. Most of the time, they seem to make it through 3/4s of the night before the charge dies. And the thing I really love about them, which is different than lesser quality airpods, is that they connect via bluetooth almost instantly, as soon as I put them in my ears. I found with cheaper quality airpods, it was always a struggle to get them to connect to my iphone."
TxKat,5.0 out of 5 stars,"Reviewed in the United States on November 13, 2023","Love these so much better than the Pros. These fit wonderfully into my ear. I work out with them, run, and just clean around the house. I've never had an issue with these bouncing out as I work out. The battery life is great. I can wear them at work for a full 8 hours."
steadyt,5.0 out of 5 stars,"Reviewed in the United States on August 3, 2023","The Apple AirPods (2nd Generation) have been a total game-changer for my daily life! As a long-time Apple user, I finally decided to invest in these wireless earbuds, and I couldn't be happier with my purchase.

First and foremost, the convenience they offer is unparalleled. The seamless pairing process with my iPhone was effortless, and they automatically connect as soon as I place them in my ears. I love the way the music automatically pauses when I remove one AirPod, and resumes as soon as I put it back in. It's such a small detail, but it makes a world of difference in my listening experience.

The sound quality of these AirPods is fantastic. The audio is clear, crisp, and surprisingly rich, even in bass-heavy tracks. I'm genuinely impressed by how well they deliver music, podcasts, and calls, providing an immersive experience whether I'm working out or simply commuting.

The wireless design is another aspect that I adore. The freedom of not having to deal with tangled wires or constantly readjusting earbuds during a workout is liberating. They fit comfortably and securely in my ears, even during intense activities, and I've never experienced any discomfort.

The battery life is excellent as well. With the included charging case, I can easily extend the playtime throughout the day without worrying about running out of power. The case itself charges quickly, making it ready for use whenever I need it.

As someone who frequently uses Siri on my iPhone, the seamless integration with these AirPods is a huge plus. The hands-free access to Siri is incredibly convenient for changing tracks, adjusting volume, or simply answering calls without reaching for my phone.

I also appreciate the lightning charging feature. It aligns perfectly with my other Apple devices, and it's one less cable to worry about when traveling or charging on the go.

One minor downside is that the AirPods are relatively expensive compared to other wireless earbuds on the market. However, the quality, performance, and user experience justify the investment for me.

In conclusion, the Apple AirPods (2nd Generation) have exceeded my expectations in every way. The seamless connectivity, top-notch sound quality, comfortable fit, and convenient features make them an indispensable accessory for any Apple user. While they may be on the pricier side, I believe they are worth every penny for the unmatched experience they provide. I highly recommend these wireless earbuds to anyone looking for a superior listening experience and ultimate convenience on a daily basis!"
Snow Cat,5.0 out of 5 stars,"Reviewed in the United States on November 14, 2023","I bought them on prime day for a deal, but the price went down again recently. I reached out to customer service, and they were very nice to provide a price match and refunded to my prime membership charge credit card!"
Santiago Penafiel,5.0 out of 5 stars,"Reviewed in the United States on November 21, 2023","super easy to connect, they fell multiple times (concrete, snow) and still work perfectly.
Also buy protection for the case, its so much handy and will save you from scratches and damaging."
Ilovemymac,5.0 out of 5 stars,"Reviewed in the United States on October 2, 2020","I love my AirPods. I thought about getting the AirPods Pro but I didn’t wanna spend that much more just to have the noise canceling feature. Now I will probably upgrade in a year or two now that they’ve even improved the AirPods Pro even more.

Coming from somebody who has an iPad and iPhone and an iMac at home having the AirPods and the ability to Switch between them so effortlessly without having to unpair and repair is so nice.
I’ve had a number of Bluetooth headsets over the years from Plantronics to generic to a number of other different companies I don’t even know if I could remember every different manufacture that I’ve had. I always hated that they were bulky they never fit in my ear just right. I just never felt like they were great and it was always complicated they seem to fuss to pair up and especially if they ever unpaired then it was starting all over again. I love that the minute that I got my AirPods I flipped open the case and right away my iPhone registers that they are there and with the top of a Button on my phone and the top of the button on the AirPods in a couple of seconds I am paired up.

I also have a very nice charger that I bought right here on Amazon for about $25 and it will charge my Apple Pencil my AirPods my Apple Watch and my iPhone all at the same time which is amazing and so nice that I can just click my AirPods case on there and they charge up in a very short time.

First off I’m not a sound engineer or an audio file so I can’t say that they have the absolute best sound quality and I’m sure that they don’t I can’t imagine that if you went out and got some of the beads or some other type of wireless headset that fits over your entire ear with a bigger driver in it that of course it’s going to have better sound quality.
But I love that they are tiny small and easy to just throw in the case. The battery life is great if my case is fully charged with the AirPods in and charged I can go to complete times to almost dead with both AirPods being used. If I only use one way talking on the phone I can go even more so in between case charging times is sometimes over a week which is absolutely amazing. The talk time on them is very long as well. I’ve never sat down and figured up exactly whether I get the exact time that Apple says.
I love that the minute that I put them in my ear I get a nice little tone to let me know that they’ve connected if I’m listening to music and I take them out it automatically pauses. I love that it will even pause my music if I get an iMessage and it will read my message it will tell me who it’s from if they’re in my contact list if not it will read me the phone number and then read me the message and then asked me if I would like to respond all without touching my phone.
I love Apple products even if they are a little more expensive in some areas but I love that for instance with the AirPods home they tie Effortlessly Into my phone my Mac and my iPad.
I absolutely hate when I am talking on the phone for more than a couple of minutes to have to hold the phone. Also I run a business and so I have to multitask sometimes someone calls and I need to be able to pick up a remote to navigate to something to check I may need to grab the computer etc. and having the ability to have both hands free to do something like that while still talking and not worrying about the AirPods falling out of my ear is worth more than the money that I paid for them by far and then all the other features that come with it are great.

So in the end I think that they are amazing and I’ve had it again a number of different Bluetooth headsets and they never fit right they fall out of my ear or the ones that took over my ears are always so uncomfortable after a short period of time that I never ended up using them I always ended up using my wired earbuds that come with my iPhone."
denise bellemeur,5.0 out of 5 stars,"Reviewed in the United States on October 20, 2023","I have an I phone and have used “wire connected ear buds” TOO LONG! I have no idea why, but I purchased these and I can’t say wow, enough!! I have small ears and they fit fine because of the contour. Love the case, magnetic so they don’t fall out, charge quickly. I haven’t paid attention to the longevity of time allowance, but I believe it stated four hours? I just keep my case with me and have adapters everywhere I go anyway so I never run into a problem. The sound is so magnificent. It’s better than any earbud I’ve ever used. The sound is clear, earbuds are durable."
Cindrela,5.0 out of 5 stars,"Reviewed in the United States on October 9, 2023","like them better than the Airpods Pro, exactly because the 'airtightness' of the 'Pros', including the noise cancellation - felt uncomfortable. I was happy to find them at excellent price!"
Kandyce,5.0 out of 5 stars,"Reviewed in the United States on October 5, 2023",I wouldn’t get them because my ears are so small but they are very comfortable. Gave me Apple Music free for 6months. They stay charged a hood while
Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on October 12, 2023",These EarPods have great sound and work perfectly! My favorite features are the rechargeable case and that they turn off when you remove it from your ear.
Pongo's mom,5.0 out of 5 stars,"Reviewed in the United States on October 13, 2023",God bless i thought tgese were gonna be auirter and im thankful they arent battery isnt the best on the market but it lasts a good while
ACS413,5.0 out of 5 stars,"Reviewed in the United States on October 16, 2023","I bought these because I was told that they deliver great sound and they fit comfortably in smaller ears, and I guess that was true!

The sound, especially the bass, is very clear. A full charge can last a long time, but that just depends on how often you use it.

They also fit my smaller ears comfortably without straining them and they don't fall out, no matter what I'm doing.

I had a brief problem with the sound dropping from the right ear bud, but I used the Amazon tech walk-through and I have not had the problem since.

Definitely worth the price for me!"
susan rosenberg,4.0 out of 5 stars,"Reviewed in the United States on October 15, 2023","Ignore my previous review. My charging cable had died and I didn't realize it. The only complaint I have about these pods is they make my ears a bit itchy where they contact my skin. I read up on cleaning them and will try that and rewrite this review if that works.
Also want to say that Apple gave me 6 months of music for free - so when all is said and done, the cost of these pods is quite nominal. I know this is not a review of Apple music, and I've yet to compare it to other streaming services, but I don't think I will keep this service."
Amanda Warnke,5.0 out of 5 stars,"Reviewed in the United States on October 17, 2023",These are great for the price I have had the pros which are obviously better but more expensive. These are not noise cancelling but work well
Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on November 6, 2023",My adult son prefers this style- he lost his 2nd Gen pair. Now very happy with his new pair (birthday gift from parents). This is the only pair he is comfortable with. You can go wrong with Apple quality- worth the money! Excellent product.
Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on November 13, 2023",I can catch up on the phone with the people I love and still do cooking and the dishes while we talk. The people I talk to can hear me great and I can hear them great too!
Juanita Sifuentes,5.0 out of 5 stars,"Reviewed in the United States on October 21, 2023",This is what a family member wanted so she chose this item because she had them before but lost them. She really liked them
Amanda C,5.0 out of 5 stars,"Reviewed in the United States on November 7, 2023","Purchased during prime day, on sale for a great price. Bought one for my husband who doesn't like Apple products, but loves these AirPods also bought a replacement pair as I ran my previous pair into the ground."
K.W.,5.0 out of 5 stars,"Reviewed in the United States on November 15, 2023","I can talk on the phone, watch TV, listen to my computer and batteries last for a long time. The case recharges the ear plugs quickly and keeps them safe when plugs are not in use. I would buy again."
Review Mate,5.0 out of 5 stars,"Reviewed in the United States on November 12, 2023","I love air pods to listen to music and go through a workout routine, they may not be waterproof, but they make it through a shower. Take care and happy shopping."
Carmen G.,5.0 out of 5 stars,"Reviewed in the United States on November 8, 2023","Es un gran cambio de pasar de audifonos de cable a estos AirPods, son super cómodos, fáciles de llevar. Y la batería dura un montón!"
JAT,5.0 out of 5 stars,"Reviewed in the United States on November 5, 2023",They have great sound quality and stay charged for a long time too. Easy to use and lightweight. Works great super happy about this purchase!
Hunter Lorance,5.0 out of 5 stars,"Reviewed in the United States on November 20, 2023",I prefer the 2nd Generation over the other versions of the Airpod. Great sound quality and noise cancellation. They look and feel great as well.
Breanna,5.0 out of 5 stars,"Reviewed in the United States on October 14, 2023","At first I was very skeptical of them being the legit apple AirPods or not, but I can for sure say they are the real apple AirPods, they sound amazing, fit in my ear amazing, and are by far the best purchase I have ever made on Amazon, 10/10 would recommend"
Holly,4.0 out of 5 stars,"Reviewed in the United States on October 8, 2023","After Siri rewards a message to you, the volume of whatever media you're listening to seems to go either up or down. Outside of that, she loves them. Great battery life, definitely helps out with your work day and quality is excellent with excellent user friendly options within the settings."
misty,5.0 out of 5 stars,"Reviewed in the United States on November 11, 2023","I don't notice any noise cancelling, but I'm ok with it. I like being able to hear my music and surroundings at the same time. If you are looking for noise cancelling, look another type of earbud."
