NAME,RATING,DATE,REVIEW
Brittany LaRay Creasman,5.0 out of 5 stars,"Reviewed in the United States on October 31, 2023",My husband has the Galaxy buds and they have been more reliable than my airpods. So I bought me the galaxy buds 2 and they are amazing. They work so well with all my apple products and have great sound quality!
Josh Houlding,2.0 out of 5 stars,"Reviewed in the United States on September 6, 2021","Galaxy Buds 2
I've been a big fan of the OG Galaxy Buds for the past two years I've owned them, so naturally I was interested in these new ones. However, not only could I not get them to fit snugly in my ears, I also encountered a plethora of small irritations that bothered me to the point of giving up on them. Here are some thoughts:

Pros
The audio quality is far superior to the original Galaxy Buds. There is a lot more bass and the audio has more depth to it for sure. I'm not an audiophile, so I can't exactly describe the way these sound in proper terminology too well, but they sound awesome to me.

Ambient sound mode is far and away better than the original Buds had. It is far easier to hear what is going on around you, and there are several levels of ambient sound so you can get exactly the amount of outside sound you need for your particular situation. It also doesn't have that faint hiss that the ambient sound mode on the original Galaxy Buds.

Cons
-Let's start off with one of the major selling points of these earbuds. Active Noise Cancellation (ANC) is marketed as quieting your environment so you can hear whatever you're listening to more clearly without having to turn the volume all the way up. However, I found that the ANC on these earbuds doesn't actually do much. It didn't filter out voices, music, papers rustling, or most other common noises very effectively, and even the constant hum of an air purifier in my room nearby wasn't cut down by that much. Considering the 33% hit to battery life you're taking by using the ANC, I would expect it to work well, and it definitely doesn't. In fact, the original Galaxy Buds have better noise cancellation, simply because they fit in my ears better and thus provide a better seal for noise isolation.

-They would not fit in my ears properly, no matter which eartip sizes I tried. This is the most fundamental aspect of a pair of earbuds for obvious reasons; it doesn't matter how many incredible features they have if they don't fit correctly. Keep in mind that these do not have any wingtips like the original Galaxy Buds to keep them secure in your ears, so they have a much greater chance of falling out and getting lost. Every time I yawned, ate, or did any other kind of jaw movement, they would come loose in my ears, and I would have to grab the buds and push/twist them back into place. This introduced even more problems, as I will discuss in the next few points. It's also worth mentioning that the ANC is worthless when the earbuds are loose, as there is no seal, defeating one of the main reasons to buy these over the original Buds or the Buds+.

-I'm not a big fan of the design of the Buds 2. They are very small, round and glossy, which means they are extremely difficult to grip compared to the original Galaxy Buds. The lack of wingtips makes this even worse, as I find myself gripping the wingtips when I'm putting in my Galaxy Buds or taking them out, and that feature is gone. Every major YouTuber seem to be fawning over the fact that these buds are smaller and lighter than previous iterations, but I don't see any meaningful increase in comfort from this design, and trying to grip these tiny things is incredibly frustrating. I was always worried I would drop them when trying to take them out of the case and put them in my ears. With the original Galaxy Buds, you had the wingtips, the touchpads on the ends, and matte-feeling plastic surfaces in the middle, so they were easy to grip when you wanted to put them in or remove them. The larger size didn't hurt, either. On the other hand though, these new Buds are a more unibody-like design, so it's not clear where the bud surface ends and the touchpad begins.

-The touch areas are poorly defined. It seems like every time I actually want to use them, I can't get them to activate, and when I just want to adjust the buds in my ears, they trigger, pausing or skipping whatever I'm listening to or watching. It's not clear where the actual touch surface is, so accidental presses are constant, and since they didn't fit me well, I was constantly having to touch the earbuds to adjust them, meaning plenty of accidental touches were had. The original Galaxy Buds didn't have this problem at all, as the triangular touchpads were clearly defined and easy to feel out due to their smoother texture compared to the rest of the buds. It may just be me, but I even felt like the original touchpads were far more responsive to my touches compared to the ones on these. The frustration I experienced with these touchpads really made me realize how much I use the touchpads on my original Galaxy Buds, and how functional they were in comparison to these.

-The case isn't as good as the original. They decided to have the cases for all colors be white, with the color of the specific buds in the middle. Why? Why do I have to have a white case? This may seem petty, but I would prefer a black case, or at least a darker color, and I don't get that option unless I shell out $20 more for a quality external protective case, which also adds bulk.
-Something I did with the original Buds case was utilize it as a phone stand. Because of its wide pill shape, it is surprisingly well-suited to this purpose. However, it is impossible to use the Buds 2 case for this purpose for several reasons. First, the more square shape means that when the phone is in landscape mode, pressing the sides of the phone screen will make the whole thing collapse, which is annoying as ****. Secondly, the glossy finish makes it too slippery to be used for this purpose anyway.
-Instead of going with a sleek matte finish like on the original case, Samsung decided to follow Apple and use a glossy finish on this new case, and I find it to be inferior for several reasons. One, fingerprint magnet. Two, it makes the case so slippery to hold that I'm afraid I'll drop the damn thing and lose my $150 earbuds when I'm out and about and trying to get them out. The matte finish on the original case didn't have either of these problems, it was grippable enough and didn't collect finger oil like a smartphone screen.
-The square shape of this case means that charging it on a wireless charging stand is impossible. With the original, the pill shape meant it could be stood up on its short end and the Qi wireless charging coils would meet up, meaning it could be charged on wireless charging stands in addition to flat pads. This extra level of flexibility was awesome, and I used it to great effect many times. Not an option with this new case.
-Petty complaint, but the snap when you close this new case is far inferior to that of the original case. Closing your earbud case with a satisfying snap after you're done using them is great, and it's not as much so here.

-Eartips aren't that great. Not only did I have problems with the fit, but when I took the earbuds out of my ears, the tips would turn inside out half the time, which would require correction. I don't know if they're using inferior materials or what, but regardless, another minor annoyance I have to deal with a significant portion of the time when I want to stop using them.

-No popup when opening the case and auto-pairing the buds. The Galaxy Buds and Buds+ show a card at the bottom of the phone screen displaying either the battery content of the buds (original buds) or the battery content of the buds and the case (buds+). For some reason, I never got a popup like this when I opened the case of the Buds 2. Why? It was nice to be able to see battery percentage upon opening the case without having to go into the app or create a dedicated widget on the home screen to monitor it. The Buds+ also have a nice animation of the buds flying out of the case and to their respective positions on the popup, a nice visual touch borrowed from Apple. It's possible that this needs to be enabled in the app somewhere, but I never had to do that with the original Galaxy Buds 2 I have, and I can't imagine Samsung would make the UX mistake of requiring a dig through the Wearable app to enable such a simple feature.

I'm terribly sorry if this review is overly long and nitpicky. I'm just interested in presenting every thought I had throughout the course of trying to like these earbuds in order to give you a more complete picture of what you might be able to expect if you buy these. They aren't bad by any means, but when you get annoyed a bit by this minor problem and a bit by that minor problem and so on, the nitpicks add up to significant frustration, and that made me quit even trying, sell these to my brother for $140, and go back to my original Galaxy Buds, which are tried and true. I am considering buying the Buds+ for my return to college instead, as they combine the tried-and-true design of the original Galaxy Buds with the best features of these new Buds 2, notably better audio quality and ambient sound mode. They also hold 11 hours of playback time in the buds alone, vs. 7.5 hours for the Buds 2 with ANC off, and 5 with it on. The case is also much better than the case for these new ones, and they are $50 cheaper to boot.

Hopefully some of this helped you come to a decision, and I hope you have a nice day.
-Josh H."
Jarrod,1.0 out of 5 stars,"Reviewed in the United States on November 10, 2023","My experience with Samsung's Galaxy Buds 2 was decidedly negative for a couple of small reasons and one big reason. To begin with the positives, the noise cancellation worked decently well. I don't have much of a baseline because I had never owned a noise cancelling product before, but they did what they advertised - made noisy spaces quieter such that I could get work done in an office where people were talking and the bus wasn't so loud as to give me a headache. Sound quality was okay. The battery life wasn't great (again, very little for me to compare to) but the fact that they could recharge in the case was neat and made limitations on the buds' battery life manageable. Because having them in for many hours is uncomfortable anyway, they always got a break to recharge in the case and they always seated well in their little charging spots.

That does bring up a point about comfort - namely, they weren't uncomfortable at first but became so after about an hour. Not surprising, especially given how they aspire to be low profile and, thus, are primarily hard shell that sits entirely inside one's ear, but it still must be said. Also they didn't stay in my ears particularly well with any of the cups they included. This became very irritating because pushing them back into my ears as they fell out would pause my music or skip tracks because as it triggered touch commands. The way to avoid this for me was to turn off touch commands with the app, but then I could only control the ear buds (pause, play, change noise cancellation setting) through my phone - which I couldn't do if I had the buds connected to another device (like my laptop, which was typical).

More to the point - after a few (3-4) weeks of owning my Galaxy Buds, they broke. The sound in the left ear became very scratchy and got worse over time, sometimes cutting out almost entirely. I sought help on Samsung's site, since my product was very new and this is where the problems really began. Samsung's customer service is abysmal - probably the worst I've ever dealt with, and that puts them in competition with Cox Communications. There is no e-mail address for me to contact. The phone number on their website isn't helpful. The online chat forces you to go through an extremely unintelligent bot, which is frustrating. The interface when using the chat is occasionally opaque. The people I've been connected to are unhelpful and frequently difficult to communicate with, with less English competency on average than I would expect for such a customer-facing position. Eventually I was able to return the ear buds to be repaired. This took a week or two and they came back fixed.

The fix lasted for about one week and the left ear bud stopped working again. I was disappointed with the quality of the product I had bought and decided I would just return it. This is not possible through Samsung - you can only return things (within the warranty) to have them repaired! I tried to reason with the poor customer service tech who was obviously not authorized to do anything for me except initiate the repair process. Eventually I caved and accepted another repair. They did not initiate the process but *did* close the chat, forcing me to spend another 45 minutes going through the process again with someone else.

And so I sent them off again. After getting an e-mail informing me that my product would not be returned to me, then receiving another e-mail informing me that it would, I eventually got a NEW set of ear buds in the mail after about three weeks. These, too, failed in the same manner as the first after a month. I never did anything with the buds except put them in and take them out, I have no idea why they're so poorly made. I then spent the next several months, on and off, trying to return them. Every time I interacted with their customer service I had to walk away for a couple weeks so I didn't say something really mean to the poor useless idiot that was 'assisting' me this time. I had one guy tell me to ""hold on"" while he got some information, then kick me for inactivity. I had somebody tell me that they were going to transfer me to someone who could help and then close the chat - nothing ever popped up. I did manage to get one guy to set up a phone call with someone higher up on a Tuesday at 6PM. I waited for them to call but they never did - until noon the next day, when I picked up to a robocall telling me that I had reached Samsung customer service and that nobody was available to take my call. It then hung up. Which was rude. The most recent interaction I had was with a guy who was adamant that *he* couldn't do anything for me (including giving me the phone number or e-mail address of someone more useful), but that a local licensed Samsung service center could. Samsung's website has a map of authorized service centers near you! I went there while he stayed on the line and they told me that, in fact, they don't service ear buds and that the customer service tech was lying to me. I came back and duly informed Khaja K. of that development and he told me ""Let me transfer to order team to get it replacement"", followed by the familiar message telling me ""We are transferring your case to the appropriate team, a new chat window will open up in few seconds to message that team."" Invariably, the chat closes and nothing else ever pops up. It does not even allow you to type anymore at that point.

The moral of this story is that the Galaxy Buds 2 are probably overpriced, but if you get a pair that isn't as flawed as mine were, they might be an okay product. However, if anything ever goes wrong, you've done your money. Godspeed. If I could give this product zero stars I would, because they haven't worked for more than a month at a time in the eight months or so I've owned them. I've returned them twice and, after probably five or six *more* interactions with customer service, neither I nor my ear buds have been served. It's actually miserable interacting with them. This concludes my review of both the product and the company that manufactures it."
Selma campos,5.0 out of 5 stars,"Reviewed in the United States on October 25, 2023","Sounds works great Even in the shower, color is a pretty olive green which not a lot of people would like so it was sale. Setting it up with your phone or tablet is super fast. Battery life is like a couple hours so it's not bad."
Paul O.,5.0 out of 5 stars,"Reviewed in the United States on July 28, 2023","I purchased these to replace an 8 month old set Jabra 75T Active earbuds - the volume in the right earbud died. Common issue with Jabra (try an internet search). Jabra CS wasn't much help with a fix and didn't honor any kind of warranty.

Comparing with the Jabra...

Samsung earbuds have better noise cancelling features. Example, you can adjust the level of hear-thru volume. There's also a feature to disable the touch control, which comes in handy when you're inserting the earbuds in your ears.

Pairing is super easy and connection with your paired devices happens when you open the charger. Unlike the Jabra, there's no need to have to have to return them to the charge case in order to reset them.

You can wear one earbud if you choose, either right or left. With the Jabra, you're limited to the right earbud only.

The earbuds are easy to keep clean. The removable silicone cups have a separate screen barrier to keep out earwax and grime from getting into the earbud itself.

The only complaint is the smooth texture of the earbuds make them slippery when handling outside the ears.

Battery life is good if the noise cancellation/hear-thru features are turned off. Charging can be performed with any Samsung adaptive charger.

I chose the Samsung ear buds because they use the same Wear app my other Samsung devices use. I've found that staying within brand is less glitchy."
Holly Ahearn,5.0 out of 5 stars,"Reviewed in the United States on July 9, 2023","I reluctantly purchased these after a different pair of earbuds I had died. I'm so glad I decided on these! Not only are they really pretty but they are, by far, the best earbuds I've ever used.

Noise cancelling - they really are noise cancelling! I went on a road trip with my kids in the car and I wasn't able to hear their bickering or singing. It was glorious being able to submerse myself in a book. I'm not 100% sure if this is me imagining things but it seems as if there is a slight white noise produced right before audio starts. It's very minimal but it keeps outside noise from creeping in.

What ya get and colors - the earbuds are a smooth, shiny lavender that match my Samsung watch and phone. The case came partially charged and is white. There is also a white USB cord. It came with 3 different sizes of ear pieces to perfect your sizing.

The app - you'll need to download the Samsung Wearable app. The app allows you to keep track of how charged the case and each earbud is. There's noise and touch controls as well. When first setting up the app, it has you put the earbuds in your ears to determine if they fit ok. With the help of the app I found out that I needed two different sizes of ear pieces to get the best fit.

I've mowed the lawn with them and despite sweating and doing a lot of moving, they stayed in without a problem. I've used them for about 3 hours consecutively and they played perfectly the whole time, never running out of charge. When I make calls, nobody has had trouble hearing me. I can stop or start music by simply tapping an earbud.

These earbuds are worth every penny. If you're on the fence, get them because you won't regret it!"
natalie mckinney,5.0 out of 5 stars,"Reviewed in the United States on November 7, 2023","Love love love these. The sound quality is awesome, reasonably priced and they are noise canceling."
Jesse,4.0 out of 5 stars,"Reviewed in the United States on June 8, 2023","As a user, I love the bugs. They are amazing for listening to music or calls. One really awesome feature I noticed the other day is we were at the neighborhood pool and I was sitting at the table (not wet) and put them in to listen to some music. I had not turned on my music yet, as soon as I put them it, it was like ear plugs, blocking ALL noise. I was sitting next to the ""kiddie"" pool which had ""mushrooms"" (towers that poured water out like a waterfall, and within 5 seconds, it sounded like my earbuds were playing ocean sounds. It knew the water was a soothing sound and actually piped them through to my ears while still blocking out the sound of our kids screaming and running around in the pool.

The ONLY complaint I have is about talking on phone. While it is great for me, I have only had complains about people not being able to hear me. I have used it in the car, people complain and connected to my PC for ""Teams"" meetings, people always complain that I sound muffled. I stopped using them to talk on phone (went back to vehicle bluetooth) and PC (went back to my USB headset) and everything sounds clear according to everyone who is listening. Not sure if there is a setting I need to change for that but I didn't see anything obvious in the settings."
Darrell A. Johnson,5.0 out of 5 stars,"Reviewed in the United States on November 4, 2023",Loving my buds. Quality is phenomenal... my upgrade to the pros and keep these as a backup!
Kindle Customer,5.0 out of 5 stars,"Reviewed in the United States on September 30, 2023","These are some of the best earbuds i have ever encountered, bar none. The audio quality is fantastic and the comfort is great. Only a couple of little gripes, the earbuds have a hard time staying in the ears, especially when moving around. The touch controls are a little too sensitive or unresponsive at times. Other than that these work great. Last complaint would probably be the price. These compare to 80 dollar earbuds and for the price they could be better."
Lee Ann Roman,5.0 out of 5 stars,"Reviewed in the United States on November 12, 2023",Love them
Kenny,5.0 out of 5 stars,"Reviewed in the United States on November 5, 2023",Overall amazing sound and battery life
Cheetahboy3000YT,4.0 out of 5 stars,"Reviewed in the United States on April 15, 2023","I recently purchased the Samsung Galaxy Bud 2 and I'm very impressed with them. The sound quality is excellent and the noise canceling is amazing, allowing me to fully immerse myself in my music or podcasts without any distractions. The Bluetooth connectivity is actually good and has been stable with a good range. I can go outside with them on and leave my phone inside the house and still hear my music with no connection issues.

The touch controls are intuitive and easy to use, better than the ones you can find on AirPods but I do find them a bit sensitive and have accidentally paused or skipped tracks before. The battery life is impressive, with the buds lasting for several hours on a single charge. However, I do find the charging case to be a bit bulky and the design is not as sleek as I would like.

The only major issue I have with the Samsung Galaxy Bud 2 is the odd design, compared to other high quality wear buds on the market they just look weird to me. They don’t look as cool as airpods or raycon earbuds. It also Selma like the build quality has gotten worse since the galaxy bud pros. The case is made with a lighter more cheap feeling plastic.

Overall, I would highly recommend the Samsung Galaxy Bud 2 to anyone looking for high-quality wireless earbuds with excellent noise canceling, impressive battery life, and intuitive touch controls. The minor drawbacks, such as the odd design and but it is easily outweighed by the impressive features and performance of these earbuds."
Noah Sheldon,3.0 out of 5 stars,"Reviewed in the United States on September 10, 2023","I bought these buds a few months back.

The Good

I bought them to use at school and when going for walks and biking. For that they generally do a good job, the samsung wearables app works well and features quite a bit to tinker with including sound modes and a graphic EQ if your into that, the buds even auto pair when you open the charging case. The 3 sets of ear tips that are included makes it much easier to find a good fit. But how about sound quality? They sound fantastic I am amazed by the detail everytime I listen especially considering these are cheaper wireless buds. The battery life is also quite good, you can easily get several hours as long as you put them in the case every so often.

The Bad
My first gripe might seem small but the case is a glossy finish and is smudged very easily giving it a less than stellar look. I also don't find these very comfortable with any of the tip sizes, and strugle to wear them for more extended listening periods. Not only that but my brother who also bought a pair of these even before me is experiencing quite a few issues including, the left bud barely putting out any sound, and most recently one of his ear tips completely ripping. We looked up solutions and came across a plethora of threads listing similar issues, so it seems like a possible QC problem.

The Verdict

Overall they are pretty good buds especially if you can snag them on sale, but beware of possible QC issues. A warranty might be a smart idea."
Leonid A. Blank,5.0 out of 5 stars,"Reviewed in the United States on October 28, 2023","everything is great, comfortable, beautiful and beautiful
work great and excellent"
Daniel A.,5.0 out of 5 stars,"Reviewed in the United States on September 6, 2022","I've been using an older set of Bose Headsets since sometime around 2014. It's the model that doesn't cover the ear, but it was always great a canceling noise, and the sound quality while watching movies on my tablet was great. The headset was wired, and it came with 2 batteries and a plug-in wall charging device. They were used, but high quality, noise canceling and when the ear muff pleather goes bad, you can replace them easily. It's been a tank for me, but they were bulky to pack when you're trying to travel lite with a carry-on and personal item. Additionally, I was ready for a wireless bluetooth solution. I will also preface that this is not my first attempt at noise canceling earbuds, I had purchased an ""Amazon"" off brand, on sale $49 set a couple of years back, and perhaps I didn't do something right when using them, but I just felt they plugged my ears, more so then it actually having a Noise Canceling feature (there's a difference, I'll get to that).

I was getting ready for a New York trip where I needed to consolidate as much space as possible, because in this particular occasion I had a carry-on and a personal item. So, I ran across, a deal where the olive color SAMSUNG Galaxy Buds 2 were going just shy of $99. Based off the reviews, it appeared to get the job done, albeit I was still a bit skeptical since the price was excellent, and I thought simply plugging the ear with a bud and filling it with music or sounds from a movie was good enough to call it noise canceling.

Result? I was pleasantly surprise how great these things were, there's a bit of trick to the ear buds when you don't have actual buttons to push, but it's a simple as holding your finger on the ear bud for a period of time turns on and off the noise canceling feature, and tapping the ear bud pauses it. And yes, I could tell the difference when I used the noise canceling feature, and it was freaking great in my opinion. I only used to watch a television series on my Amazon Fire Tablet, but it was fantastic, I have absolutely no complaints for the time I used it on the trip. Until I make a significantly longer trip (2 hrs for me to get to NY), I will not know how good the battery life is, or how long this product will last overall, but for $100, I highly recommend this product if you want a lean ear bud that noise cancels and sounds great watching movies and/or tv shows are your tablet."
TheStarsFan,4.0 out of 5 stars,"Reviewed in the United States on June 6, 2023","I have been reluctant to buy Samsung phone products to mate up with my Galaxy phone, because quite frankly, they just haven't been that great. The reviews on this were better than other products, so I thought I would give them a shot.
Pros:
Integration with my Galaxy phone is exactly as it should be. Cake.
An app to let you make some adjustments on your phone instead of remembering a series of buttons.
Sound is great for a sub $100 true wireless ear bud
No audio latency on videos.
Battery/storage is nice. Love the magnet to keep buds from falling out.
Simple design.
Cons:
The touch controls on the buds are a bit confusing when you don't want to use your phone for adjustments.
They don't seem to fit in my ears as well as others. Tried different option sizes, but still feel like I have to adjust them a lot. I have fairly large ears, so I don't know why this is.

Overall, I am happy. Great sound at a really good price."
Free,4.0 out of 5 stars,"Reviewed in the United States on September 18, 2023",They take too long to connect to a Samsung phone. Otherwise no problem unless you drop the case and they fall out. They should really try and fix that.
Noah,5.0 out of 5 stars,"Reviewed in the United States on September 21, 2023","I got these for my mom and she loves them! The lavender is honestly my favorite color these come in and it worked out cause she love purple. One thing that really surprises me was the quick connect, she has a Galaxy S9 but even though her phone is older they instantly popped up and connected! Overall solid buds and you cant go wrong with these! (The buds3 are coming out relatively soon so take that into consideration also)"
Jeanette,5.0 out of 5 stars,"Reviewed in the United States on October 29, 2023",It was a present for my nephew
Jeanine turner,5.0 out of 5 stars,"Reviewed in the United States on October 29, 2023","A gift, she loved them"
Michelle,4.0 out of 5 stars,"Reviewed in the United States on September 9, 2023",I recently lost my original pair of ear buds during a business trip. I wanted something gnthat didn't hurt my ears when I was wearing them. So far these are great. Fingers crossed they stay that way
Amazon Customer,4.0 out of 5 stars,"Reviewed in the United States on August 6, 2023","Sound is pretty goodnon these. And love that they charge in the case and case battery last a good amount of time so does the earbuds, you can also find each earbud if lost which is nice with the find app. Only draw back is that the fit of earbuds can give slight issues like not 100% wanting to stay in the ears like if head is Tilted or working in a hot environment they sometimes want to fall out so really that's my only concern. But overall really good earbuds"
Heather Allyson,5.0 out of 5 stars,"Reviewed in the United States on September 21, 2023","Update: I was able to do a reset through the mobile app and the feedback problem is gone. Thank goodness because these are my faves. - H

Sometimes one of the buds makes weird interference type sounds and it can be very annoying. Also, the nose proof is a little less powerful than I would like but they are very comfortable and cute. Love them when there is no interference"
Arianna,5.0 out of 5 stars,"Reviewed in the United States on October 9, 2023","For the price I payed for these, they are pretty good! Sound is amazing, they fit really snuggly in my ears. So far no complaints. Let's hope that doesn't change haha"
Gerardo,5.0 out of 5 stars,"Reviewed in the United States on October 22, 2023",Really nice headphones they sound great sound as good as airpodz pros
Ryan,4.0 out of 5 stars,"Reviewed in the United States on February 13, 2023","I bought these earbuds as I was looking for buds that sound good, fit well in the ear, and do not stick out of/hang down from my ears; these do the trick well!
They integrate well with the Galaxy Wearable app, with features including battery level display, equalizer settings, earbud fit test, ""find my earbuds"", reprogrammable touch pad controls, and various other earbuds settings.
I am a big fan of the active noise canceling (ANC), ambient sound, and the ability to switch between the two by just using the touch pads on the sides of the earbuds. One small downside is the inability to access these functions while using only one earbud; not an issue for ANC as you wont get that anyway with only one, but I like to use just the one while I drive, and miss being able to still hear the ambient sounds.
The earbuds are small, round, and smooth, which can make them difficult to grip when holding and placing in/out of ears. Occasional tendency to activate the touch pad when adjusting in ears.
--Like:
Comfortable in ear
Easy to pair with devices
Integration with Galaxy Wearable app
Wired/wireless charging, fast charge, good battery life
ANC and ambient sound settings.
Receptive touch pads on outside of earbuds to pause/play/skip music and answer/hang up phone calls
--Dislike:
Inability to use ambient sound setting while using only one earbud
Outside of case only comes in white color
Smooth and round surface of earbuds leads to difficulty gripping them in fingers
Tapping the touch pads to pause/skip music can sound like an echoing plastic-y sound in the ears"
Sandhya Bhatia,5.0 out of 5 stars,"Reviewed in the United States on October 26, 2023",Very handy and effective ones!
Christopher,5.0 out of 5 stars,"Reviewed in the United States on March 2, 2022","I bought these because i got a new phone recently (Samsung Galaxy flip 3), and since it doesnt have a normal headphone jack, i bought an adapter and used it until i could purchase these.

Mine were in a Sealed box, so not opened like i saw some say on here. they will need to be charged once you get them, or at least mine were. i synched them to my phone and saw the buds were at 3% and the case 39%. you will need the app Samsung Wear, which was preinstalled on my phone so no biggie, to use them i believe.

FIT:

They fit in my ears just fine out of the box, no playing, no having to swap the ear tips. you should place them in your ear so the insert is on the bottom, and the bulb upwards, gently guide it into your ear until it fits snugly. the Samsung Wear app also had a ""Test the Fit"" feature that said i had a good fit, so whatever works.

Battery: I listened to music and played with them for about an hour, on an almost Max volume, and they only dropped about 10-15%, so easy 10 hours for me at minimum, which i wont ever listen to music that long so perfect for me.

Sound: Sound quality is great, just as good as my old Skullcandy Headphones, if not better. found a good Equalizer for me was ""Dynamic"", had just the right sound for my tastes listening to Hard rock/Metal.

Additional Features:

The Noise Cancelling isnt total silence. It definitely lowers the outside volume by about half, but even still, listening to music just blots out whatever is left.

The Ambient Sound feature does work, and it sounds like you're on a call with someone, however you will not hear anything listening to music loudly, i tested it by playing a Podcast video on my PC while listening to different levels. the music would have to be at a very quiet level to hear anything. so better to pause and unpause.

The touch features i havent had any issue with as of yet. It doesnt have any buttons or anything like that, just the face of the earbuds. you tap against that to use touch features, and they CAN be turned off via Samsungs Wear app.

Overall id give them a 5, since the Noise Cancellation/Ambient sound features arent too big of a dealbreaker for me. they are comfortable, great sound quality, and so convienient not having to bring Wired headphones where i go anymore."
